ພະ ເຍຊູ ອາດ ຈະ ຍັງ ຢູ່ ເຮືອນ ຂອງ ຊັກຄາຍ ບ່ອນ ເຊິ່ງ ພະອົງ ພັກ ເຊົາ ລະຫວ່າງ ທາງ ໄປ ເມືອງ ເຢຣຶຊາເລມ	耶稣也许仍在撒该家里 当时他正打算前往耶路撒冷途中在后者家里稍作停留
ຊັກຄາຍ ພິສູດ ວ່າ ເຂົາ ປ່ຽນ ໃຈ ໃຫມ່ ແທ້ໆ ໂດຍ ການ ຍົກ ຊັບ ສົມບັດ ເຄິ່ງ ຫນຶ່ງ ໃຫ້ ກັບ ຄົນ ອະນາຖາ ແລະ ໂດຍ ການ ໃຊ້ ຊັບ ອີກ ເຄິ່ງ ຫນຶ່ງ ເພື່ອ ຈ່າຍ ໃຫ້ ແກ່ ຄົນ ເຫຼົ່າ ນັ້ນ ທີ່ ເຂົາ ໄດ້ ສໍ້ ໂກງ ມາ	撒该毅然将一半财产分给穷人余下的一半则用来赔偿那些受过他讹骗的人由此证明自己的确已痛改前非
ພະ ເຍຊູ ພໍ ໃຈ ກັບ ວິທີ ທີ່ ຊັກຄາຍ ສັນຍາ ວ່າ ຈະ ແຈກ ຈ່າຍ ຊັບ ສົມບັດ ຂອງ ຕົນ ພະ ເຍຊູ ກ່າວ ວ່າ ໃນ ວັນ ນີ້ ຄວາມ ພົ້ນ ໄດ້ ເຂົ້າ ມາ ໃນ ເຮືອນ ຫຼັງ ນີ້ ເພາະ ວ່າ ທ່ານ ຜູ້ ນີ້ ທັງ ມວນ ເປັນ ລູກ ຫຼານ ຂອງ ທ່ານ ອັບລາຫາມ	耶稣对于撒该答应分配财产的方式感到欣慰因为他说今天救恩到了这家因为他也是亚伯拉罕的子孙
 ຊັກຄາຍ ແມ່ນ ໃຜ ແລະ ເປັນ ຫຍັງ ລາວ ຈຶ່ງ ປີນ ຂຶ້ນ ກົກ ໄມ້	 撒该是谁 何以他爬到树上去
 ວິທີ ທີ່ ພະ ເຍຊູ ປະຕິບັດ ຕໍ່ ຊັກຄາຍ ໃຫ້ ບົດຮຽນ ຫຍັງ ແກ່ ພວກ ເຮົາ	 我们可以从耶稣对待撒该的方式学到什么教训
ດັ່ງ ນັ້ນ ຊັກຄາຍ ຈຶ່ງ ແລ່ນ ໄປ ທາງ ຫນ້າ ແລ້ວ ປີນ ຂຶ້ນ ກົກ ໄມ້ ຊີກໍມົນ ຕາມ ທາງ ທີ່ ພະ ເຍຊູ ຜ່ານ ໄປ	撒该于是跑到前头在耶稣行将经过的地方爬上一棵桑树去
 ຊັກຄາຍ ພິສູດ ເຖິງ ການ ປ່ຽນ ໃຈ ໃຫມ່ ຂອງ ເຂົາ ຢ່າງ ໃດ	 撒该怎样证明自己的确痛改前非
ເມື່ອ ຢູ່ ເທິງ ແຜ່ນດິນ ໂລກ ພະອົງ ປະກາດ ວ່າ ແຜ່ນດິນ ສະຫວັນ ໄດ້ ຫຍັບ ເຂົ້າ ມາ ໃກ້ ແລ້ວ ແລະ ພະອົງ ໄດ້ ສົ່ງ ສາວົກ ອອກ ໄປ ປະກາດ ໃນ ແບບ ດຽວ ກັນ	他在地上的时候传道说天国近了 他也派出门徒传道
ຂ້າພະ ເຈົ້າ ໄດ້ ຮຽນ ຮູ້ ວ່າ ເຖິງ ແມ່ນສະພາບ ການ ຈະ ເປັນ ແນວ ໃດ ກໍ ຕາມ ແຕ່ ຂ້າພະ ເຈົ້າກໍ ມີຄ່າ ພໍ	我学到不论状况如何我是有价值的
ຫຼັງ ຈາກ ຂຽນ ດ້ວຍ ນໍ້າ ຫມຶກ ຊະນິດ ນີ້ ແລະ ປະ ໄວ້ ບໍ່ ດົນ ປານ ໃດ ຜູ້ ຂຽນ ສາມາດ ໃຊ້ ຟອງ ນໍ້າ ທີ່ ປຽກ ເຊັດ ສິ່ງ ທີ່ ຂຽນ ໄວ້ ນັ້ນ ອອກ ໄດ້	人用这样的墨水书写不久之后可以用一块湿海绵把字迹抹去
ການ ຕັດສິນ ໃຈ ທີ່ ຈະ ປ່ຽນແປງ ກໍ ເປັນ ຂອງ ທ່ານ  ແລະ ເປັນ ຂອງ ທ່ານ ຄົນ ດຽວ	决定是否要改变是操之在自己而且只有你能决定
